y2016_id,y2022_id
D-02-04-02-02,JkxnuP0
D-02-04-02-03,JkxnuP0
D-02-04-02-04,JkxnuP0
D-02-04-02-05,JkxnuP0
D-02-04-05-01,JkxnuP0
D-02-04-05-02,JkxnuP0
D-02-04-05-03,JkxnuP0
D-02-04-05-04,JkxnuP0
D-02-04-06-01,JkxnuP0
D-02-04-06-02,JkxnuP0
D-02-04-06-03,JkxnuP0
D-02-04-07-01,JkxnuP0
D-02-04-08-01,JkxnuP0
D-02-04-04-02,JkxnuP0
D-02-04-04-03,JkxnuP0
D-02-04-09-01,JkxnuP0
D-02-04-09-02,JkxnuP0
D-02-04-10-01,JkxnuP0
D-03-01-na-01,JkxnuP4
D-03-01-na-02,JkxnuP4
D-03-01-na-03,JkxnuP4
D-03-03-na-01,JkxnuP8
D-03-03-na-01,JkxnuP8
D-03-03-na-01,JkxnuP8
D-03-03-na-01,JkxnuP8
D-03-02-na-01,JkxnuQA
D-03-02-na-02,JkxnuQA
D-03-02-na-03,JkxnuQA
D-03-04-01-01,JkxnuQI
D-03-04-01-02,JkxnuQI
D-03-04-02-01,JkxnuQI
D-03-04-02-02,JkxnuQI
D-03-04-02-03.,JkxnuQI
D-03-04-03-01,JkxnuQI
D-03-04-04-01,JkxnuQI
D-03-04-04-02,JkxnuQI
D-03-04-05-01,JkxnuQI
D-03-04-05-02,JkxnuQI
D-03-04-05-03,JkxnuQI
D-03-04-06-01,JkxnuQI
D-03-04-06-02,JkxnuQI
D-03-04-07-01,JkxnuQI
D-03-04-07-02,JkxnuQI
D-03-04-07-03,JkxnuQI
D-03-04-07-04,JkxnuQI
D-03-04-07-05,JkxnuQI
D-03-04-07-06,JkxnuQI
D-03-04-08-01,JkxnuQI
D-03-04-09-01,JkxnuQI
D-03-04-09-02,JkxnuQI
D-04-01-na-01,JkxnuQM
D-04-01-na-02,JkxnuQM
D-04-01-na-03,JkxnuQM
D-04-01-na-04,JkxnuQM
D-04-01-na-05,JkxnuQM
D-04-01-na-06,JkxnuQM
D-04-01-na-07,JkxnuQM
D-04-01-na-08,JkxnuQM
D-04-03-na-01,JkxnuQQ
D-04-03-na-02,JkxnuQQ
D-04-03-na-03,JkxnuQQ
D-04-03-na-01,JkxnuQQ
D-04-03-na-02,JkxnuQQ
D-04-03-na-03,JkxnuQQ
D-04-03-na-01,JkxnuQQ
D-04-03-na-02,JkxnuQQ
D-04-03-na-03,JkxnuQQ
D-04-03-na-01,JkxnuQQ
D-04-03-na-02,JkxnuQQ
D-04-03-na-03,JkxnuQQ
D-04-03-na-01,JkxnuQQ
D-04-03-na-02,JkxnuQQ
D-04-03-na-03,JkxnuQQ
D-04-02-na-01,JkxnuQU
D-04-02-na-02,JkxnuQU
D-04-04-01-15,JkxnuQY
D-04-04-01-01,JkxnuQc
D-04-04-01-02,JkxnuQc
D-04-04-01-03,JkxnuQc
D-04-04-01-04,JkxnuQc
D-04-04-01-05,JkxnuQc
D-04-04-01-06,JkxnuQc
D-04-04-01-07,JkxnuQc
D-04-04-01-08,JkxnuQc
D-04-04-01-09,JkxnuQc
D-04-04-01-10,JkxnuQc
D-04-04-01-11,JkxnuQc
D-04-04-01-12,JkxnuQc
D-04-04-01-13,JkxnuQc
D-04-04-01-14,JkxnuQc
D-04-04-02-01,JkxnuQc
D-04-04-02-02,JkxnuQc
D-04-04-03-01,JkxnuQc
D-04-04-03-02,JkxnuQc
D-04-04-03-03,JkxnuQc
D-05-01-na-01,JkxnuQg
D-05-01-na-02,JkxnuQg
D-05-01-na-03,JkxnuQg
D-05-01-na-04,JkxnuQg
D-05-01-na-05,JkxnuQg
D-05-01-na-06,JkxnuQg
D-05-01-na-07,JkxnuQg
D-05-01-na-08,JkxnuQg
D-05-01-na-09,JkxnuQg
D-05-01-na-10,JkxnuQg
D-05-01-na-11,JkxnuQg
D-05-01-na-12,JkxnuQg
D-05-01-na-13,JkxnuQg
D-05-01-na-14,JkxnuQg
D-05-03-na-04,JkxnuQk
D-05-03-na-06,JkxnuQk
D-05-03-na-09,JkxnuQk
D-05-03-na-10,JkxnuQk
D-05-03-na-12,JkxnuQk
D-05-03-na-13,JkxnuQk
D-05-03-na-14,JkxnuQk
D-05-03-na-19,JkxnuQk
D-05-03-na-04,JkxnuQk
D-05-03-na-06,JkxnuQk
